source,target,model,normalization,threshold_policy,elapsed_sec,n_train,n_test,n_train_groups,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
campanella,wesad,rf,per_subject,source_tuned,15.97,1844,919,26,0.59,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.5353645266594124,0.46618501262289364,0.45758628363537845,0.6176470588235294,0.7155025553662692,0.6629834254143646,0.301255230125523,0.21686746987951808,0.2521891418563923,0.3674750107756409
campanella,wesad,svm,per_subject,source_tuned,5.43,1844,919,26,0.48999999999999994,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.44940152339499456,0.4630087641879272,0.4459053038968962,0.6,0.41396933560477,0.4899193548387097,0.33073929961089493,0.5120481927710844,0.40189125295508277,0.41628866402577946
campanella,wesad,xgb,per_subject,source_tuned,7.85,1844,919,26,0.5599999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.5473340587595212,0.4696665708831921,0.4557423352011298,0.6205923836389281,0.7495741056218058,0.6790123456790124,0.3,0.1897590361445783,0.23247232472324722,0.39798033702099717
campanella,wesad,rf,global,fixed_0.5,15.11,1844,919,26,0.5,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.41458106637649617,0.4089278750436157,0.403902911872221,0.5538461538461539,0.4293015332197615,0.4836852207293666,0.27801724137931033,0.3885542168674699,0.3241206030150754,0.39929393895856
campanella,wesad,svm,global,fixed_0.5,4.48,1844,919,26,0.5,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.41240478781284007,0.4432072412306808,0.4123205911610061,0.5685131195335277,0.3321976149914821,0.41935483870967744,0.3194444444444444,0.5542168674698795,0.4052863436123348,0.4431354036247203
campanella,wesad,xgb,global,fixed_0.5,7.94,1844,919,26,0.5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.5027203482045702,0.46745499887112335,0.4676110614617204,0.6144366197183099,0.5945485519591142,0.6043290043290044,0.32193732193732194,0.34036144578313254,0.3308931185944363,0.43517169187824556
campanella,wesad,rf,global,source_tuned,20.61,1844,919,26,0.5099999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.4352557127312296,0.41660680199503297,0.4157302682593096,0.568,0.4838160136286201,0.5225390984360626,0.27684964200477324,0.3493975903614458,0.30892143808255657,0.39929393895856
campanella,wesad,svm,global,source_tuned,6.75,1844,919,26,0.5099999999999999,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.4178454842219804,0.44484924365263434,0.41744817739651774,0.5730337078651685,0.3475298126064736,0.432661717921527,0.3197158081705151,0.5421686746987951,0.4022346368715084,0.4431354036247203
campanella,wesad,xgb,global,source_tuned,9.4,1844,919,26,0.5399999999999999,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.5125136017410229,0.4672702735986536,0.46683242683242687,0.6156405990016639,0.6303236797274276,0.622895622895623,0.31761006289308175,0.3042168674698795,0.31076923076923074,0.43517169187824556
campanella,nurse,rf,per_subject,fixed_0.5,14.79,1844,1720,26,0.5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.6558139534883721,0.47917898737570863,0.47792844896184544,0.1834319526627219,0.164021164021164,0.17318435754189945,0.7713458755426917,0.7943368107302533,0.7826725403817915,0.5577831397503529
