dataset,model,held_out,n_test,n_train,n_test_pos,n_test_neg,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
wesad,svm,S15,62,857.0,23,39,0.6699999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.6290322580645161,0.5,0.38613861386138615,0.6290322580645161,1.0,0.7722772277227723,0.0,0.0,0.0,0.7770345596432553
wesad,svm,S16,61,858.0,22,39,0.5399999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.8032786885245902,0.7768065268065267,0.7821428571428571,0.8292682926829268,0.8717948717948718,0.85,0.75,0.6818181818181818,0.7142857142857143,0.8939393939393938
wesad,svm,S17,63,856.0,24,39,0.6,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.873015873015873,0.8573717948717949,0.8630434782608696,0.8780487804878049,0.9230769230769231,0.9,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.9519230769230769
wesad,svm,S2,59,860.0,21,38,0.18,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.4745762711864407,0.5921052631578947,0.44322678843226787,1.0,0.18421052631578946,0.3111111111111111,0.40384615384615385,1.0,0.5753424657534246,0.9360902255639098
wesad,svm,S3,60,859.0,22,38,0.5199999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.9666666666666667,0.9545454545454546,0.9633699633699633,0.95,1.0,0.9743589743589743,1.0,0.9090909090909091,0.9523809523809523,0.9880382775119617
wesad,svm,S4,60,859.0,21,39,0.25999999999999995,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.36666666666666664,0.5128205128205128,0.28750000000000003,1.0,0.02564102564102564,0.05,0.3559322033898305,1.0,0.525,0.5653235653235653
wesad,svm,S5,61,858.0,21,40,0.30999999999999994,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.7868852459016393,0.8261904761904761,0.7831555920153132,0.9655172413793104,0.7,0.8115942028985508,0.625,0.9523809523809523,0.7547169811320755,0.8857142857142857
wesad,svm,S6,61,858.0,22,39,0.63,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.9344262295081968,0.9090909090909092,0.9256097560975609,0.9069767441860465,1.0,0.9512195121951219,1.0,0.8181818181818182,0.9,0.993006993006993
wesad,svm,S7,60,859.0,21,39,0.19,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.8166666666666667,0.836996336996337,0.8102903133084219,0.9375,0.7692307692307693,0.8450704225352113,0.6785714285714286,0.9047619047619048,0.7755102040816326,0.9291819291819292
wesad,svm,S8,62,857.0,23,39,0.4799999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.8225806451612904,0.81438127090301,0.8115501519756838,0.868421052631579,0.8461538461538461,0.8571428571428571,0.75,0.782608695652174,0.7659574468085106,0.8818283166109253
wesad,svm,S9,60,859.0,21,39,0.25999999999999995,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.7666666666666667,0.7655677655677655,0.7532314923619272,0.8571428571428571,0.7692307692307693,0.8108108108108109,0.64,0.7619047619047619,0.6956521739130435,0.8241758241758241
wesad,svm,POOLED,919,,332,587,,None,0.7736670293797606,0.7619840520514767,0.7581187236799481,0.8353982300884956,0.8040885860306644,0.8194444444444444,0.6751412429378532,0.7198795180722891,0.6967930029154519,0.8352994601917038
wesad,xgb,S10,63,856.0,24,39,0.6,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wesad,xgb,S11,63,856.0,23,40,0.13,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.9841269841269841,0.9782608695652174,0.9827160493827161,0.975609756097561,1.0,0.9876543209876543,1.0,0.9565217391304348,0.9777777777777777,0.9989130434782608
